	research_question	link	description	id	past_query
0	What are the distinct mechanisms of refractory wear in the snorkel tubes of an RH (Ruhrstahl-Hereaus) vacuum degasser, and how does the injection of oxygen through the top lance accelerate this degradation?	https://www.sciencedirect.com/science/article/abs/pii/S0272884224047503	Abstract reports on the decarburization behavior of MgO-C refractories under thermal cycling. Key finding: the oxidation of graphite forms a porous decarburized layer (MgO skeleton) that weakens the structure, promoting crack initiation and spalling during thermal shocks. The depth of the decarburized layer correlates with temperature and oxygen partial pressure.	0	
1	What are the distinct mechanisms of refractory wear in the snorkel tubes of an RH (Ruhrstahl-Hereaus) vacuum degasser, and how does the injection of oxygen through the top lance accelerate this degradation?	https://www.sciencedirect.com/science/article/abs/pii/S0955221923006593	Focuses on the synergistic effect of oxidation and slag penetration. The decarburized layer allows molten slag to infiltrate through the open pores, leading to chemical dissolution of MgO grains by FeO and SiO2 in the slag. The study quantifies the reduction in thermal conductivity after decarburization, which exacerbates thermal gradients and spalling.	1	
2	What are the distinct mechanisms of refractory wear in the snorkel tubes of an RH (Ruhrstahl-Hereaus) vacuum degasser, and how does the injection of oxygen through the top lance accelerate this degradation?	https://www.sciencedirect.com/science/article/abs/pii/S0272884217303620	Investigates the role of antioxidants (e.g., Al, Si) in MgO-C refractories. The formation of secondary phases (e.g., MgAl2O4 spinel, SiC) in the decarburized zone can densify the surface and limit further oxidation, but also induces microcracks due to volume expansion. Thermal shock resistance is found to be strongly dependent on the decarburized layer's elastic modulus.	2	
3	What are the distinct mechanisms of refractory wear in the snorkel tubes of an RH (Ruhrstahl-Hereaus) vacuum degasser, and how does the injection of oxygen through the top lance accelerate this degradation?	https://www.sciencedirect.com/science/article/abs/pii/S0272884225009435	Presents a new model for spalling fatigue: repeated thermal cycling under vacuum leads to cumulative damage in the decarburized layer. The paper highlights that the presence of a top lance oxygen jet increases local temperature fluctuations and accelerates the oxidation rate, reducing the lifetime by a factor of 2–3 compared to inert conditions.	3	
4	What are the distinct mechanisms of refractory wear in the snorkel tubes of an RH (Ruhrstahl-Hereaus) vacuum degasser, and how does the injection of oxygen through the top lance accelerate this degradation?	https://www.sciencedirect.com/science/article/abs/pii/S0272884221031564	Compares the oxidation resistance of different MgO-C grades. The decarburized layer's thickness is proportional to the square root of time, but the oxygen lance introduces convective mass transfer that increases the oxidation rate constant. The study also notes that the spalling of the decarburized layer exposes fresh carbon, perpetuating the wear cycle.	4	
5	What are the distinct mechanisms of refractory wear in the snorkel tubes of an RH (Ruhrstahl-Hereaus) vacuum degasser, and how does the injection of oxygen through the top lance accelerate this degradation?	https://www.sciencedirect.com/science/article/abs/pii/S027288421931819X	Examines the effect of ZrO2 additions on MgO-C refractories. ZrO2 helps to pin the decarburized layer and improve thermal shock resistance, but the oxygen lance's high-velocity flow can erode the softened surface, leading to a combination of chemical and mechanical wear. The abstract suggests that the synergy between oxidation and erosion is the primary degradation mechanism.	5	
6	What are the distinct mechanisms of refractory wear in the snorkel tubes of an RH (Ruhrstahl-Hereaus) vacuum degasser, and how does the injection of oxygen through the top lance accelerate this degradation?	https://www.researchgate.net/publication/251546157_Slag_attack_evaluation_of_in_situ_spinel-containing_refractory_castables_via_experimental_tests_and_thermodynamic_simulations	Thermodynamic simulations of slag attack on spinel-containing castables at 1650°C. The slag (CaO-Al2O3-SiO2-MgO) penetrates along grain boundaries, dissolving MgO and forming CaMgSiO4 (monticellite) and CA6. The presence of FeO accelerates dissolution. The study provides a corrosion index based on the slag basicity.	6	
7	What are the distinct mechanisms of refractory wear in the snorkel tubes of an RH (Ruhrstahl-Hereaus) vacuum degasser, and how does the injection of oxygen through the top lance accelerate this degradation?	https://www.saimm.co.za/Conferences/MoltenSlags2004/309-Lee.pdf	Conference paper on basic slag attack of MgO-based refractories. Details the formation of a reaction layer composed of (Mg,Fe)O solid solution and dicalcium silicate. The infiltration of CaO-rich slag leads to the decomposition of MgO grains, especially at high temperatures. The paper emphasizes the role of slag viscosity and interfacial tension.	7	
8	What are the distinct mechanisms of refractory wear in the snorkel tubes of an RH (Ruhrstahl-Hereaus) vacuum degasser, and how does the injection of oxygen through the top lance accelerate this degradation?	https://www.researchgate.net/publication/251546379_Basic_Slag_Attack_of_Spinel-Containing_Refractory_Castables	Experimental evaluation of spinel-containing castables against basic slag. Spinel (MgAl2O4) shows good resistance to slag penetration due to low wettability, but in the presence of CaO, spinel reacts to form CA2 and CA6, which are prone to spalling. The abstract notes that the slag attack is more severe under oxidizing conditions, which are promoted by the top lance.	8	
9	What are the distinct mechanisms of refractory wear in the snorkel tubes of an RH (Ruhrstahl-Hereaus) vacuum degasser, and how does the injection of oxygen through the top lance accelerate this degradation?	https://rudmet.net/media/articles/Article_CIS_2024_27_pp.20-30.pdf	Discusses the corrosion of high-alumina castables by CaO-Al2O3-SiO2-MgO slag. The formation of anorthite and gehlenite from slag components leads to volume expansion and cracking. The paper suggests that the oxygen lance increases the Fe2+/Fe3+ ratio in slag, which alters the liquidus temperature and enhances penetration depth.	9	
10	What are the distinct mechanisms of refractory wear in the snorkel tubes of an RH (Ruhrstahl-Hereaus) vacuum degasser, and how does the injection of oxygen through the top lance accelerate this degradation?	https://www.academia.edu/95708377/Corrosion_of_high_alumina_castables_by_CaO_Al2O3_SiO2_MgO_system_slag	Similar to the above, this work quantifies the corrosion depth as a function of slag composition and temperature. It reports that MgO-saturated slags are less aggressive, but the top lance injection introduces turbulence that removes the protective slag layer, accelerating fresh attack.	10	
11	What are the distinct mechanisms of refractory wear in the snorkel tubes of an RH (Ruhrstahl-Hereaus) vacuum degasser, and how does the injection of oxygen through the top lance accelerate this degradation?	https://pmc.ncbi.nlm.nih.gov/articles/PMC9146358/	An open-access article on the corrosion mechanisms of refractory castables in steelmaking. It summarizes that the main wear mechanisms are chemical dissolution, penetration, and structural spalling. The oxygen lance is noted to increase the partial pressure of oxygen, which promotes the formation of low-melting phases (e.g., fayalite) that accelerate liquid-phase corrosion.	11	
12	What are the distinct mechanisms of refractory wear in the snorkel tubes of an RH (Ruhrstahl-Hereaus) vacuum degasser, and how does the injection of oxygen through the top lance accelerate this degradation?	https://www.sciencedirect.com/science/article/abs/pii/S095522190100509X	Classic paper on slag corrosion of MgO-C refractories. The presence of carbon is beneficial as it reduces slag wettability, but under oxidizing conditions (from the top lance), carbon is removed, allowing direct slag contact with MgO. The study provides activation energies for the corrosion process under different oxygen partial pressures.	12	
19	How does the choice between a vertical bending caster and a straight vertical caster with liquid core reduction (LCR) influence the centerline segregation and porosity in high-carbon wire rod steel (C > 0.70%)?	https://umformtechnik.net/wire/Content/Business/New-bloom-caster-to-produce-high-quality-blooms-for-wire-rod-production	News article about a new bloom caster designed for high-quality wire rod production, emphasizing improved internal quality and reduced segregation.	19	
20	How does the choice between a vertical bending caster and a straight vertical caster with liquid core reduction (LCR) influence the centerline segregation and porosity in high-carbon wire rod steel (C > 0.70%)?	https://www.sciencedirect.com/topics/engineering/centerline-segregation	Topic overview defining centerline segregation in continuous casting, its causes (bulging, macrosegregation), and typical mitigation measures such as soft reduction and electromagnetic stirring.	20	
21	How does the choice between a vertical bending caster and a straight vertical caster with liquid core reduction (LCR) influence the centerline segregation and porosity in high-carbon wire rod steel (C > 0.70%)?	https://www.linkedin.com/pulse/classification-continuous-caster-kerri-zhang	LinkedIn article classifying continuous casters (vertical, bending, curved) and discussing their impact on steel quality, including segregation and inclusion flotation.	21	
22	How does the choice between a vertical bending caster and a straight vertical caster with liquid core reduction (LCR) influence the centerline segregation and porosity in high-carbon wire rod steel (C > 0.70%)?	https://hanrm.com/the-characteristics-of-various-continuous-casting-machine/	Overview of continuous casting machine types, comparing vertical, bow-type, and curved casters, with notes on their effect on internal defects like centerline segregation.	22	
23	How does the choice between a vertical bending caster and a straight vertical caster with liquid core reduction (LCR) influence the centerline segregation and porosity in high-carbon wire rod steel (C > 0.70%)?	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6470511/	Research article on the influence of soft reduction on fluid flow, porosity, and center segregation in high-carbon and stainless steel blooms. Reports that soft reduction at solid fractions 0.6–0.9 significantly reduces porosity and segregation index.	23	
